COUNTRY,Population 2017,Oil Products Demand at Third U.S per Capita Energy Intenstity,Oil Products Demand 2017,Oil Products Demand per capita 2017,Growth in Oil Products Demand per capita 2012 to 2017,Percent Growth in Oil Products Demand per capita 2012 to 2018
USA,326,#N/A,19873,2.56,0.09,3.61
China,1386,28196,12119,0.37,0.08,27.57
India,1339,27236,4383,0.14,0.03,25.35
